country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,Plot_ID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,,inclusionProbability,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,applicableModules
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_017,OSBS017,1600,40m x 40m,41,29.703873,-81.991843,WGS84,17N,404053.834,3286384.353,0.16,29.29,0.16,25.1,32.67,0,0,woodyWetlands,,,GeoXH 6000,20130111,,3.8,2,div
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_018,OSBS018,1600,40m x 40m,41,29.686636,-81.942713,WGS84,17N,408791.071,3284434.512,0.1,25.98,0.11,25.41,25.98,0,0,woodyWetlands,,,GeoXH 6000,20130126,128,2.1,1,div
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_019,OSBS019,1600,40m x 40m,41,29.695991,-81.959217,WGS84,17N,407202.853,3285484.354,0.1,23.39,0.11,23.18,27.24,-1.26,0,emergentHerbaceousWetlands,,,GeoXH 6000,20130119,125,3.2,1.8,div
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_020,OSBS020,1600,40m x 40m,41,29.68685,-81.9508,WGS84,17N,408012.5,3284465,0.21,25.52,0.31,23.67,27.4,0,0,woodyWetlands,,,GeoXH 6000,,304,4.8,3.1,div
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_021,OSBS021,1600,40m x 40m,41,29.695767,-81.953022,WGS84,17N,407801.937,3285454.492,0.27,26.99,0.67,23.6,27.11,-0.57,135,woodyWetlands,,,GeoXH 6000,20130124,128,7,1.9,div
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_022,OSBS022,1600,40m x 40m,41,29.689482,-81.960693,WGS84,17N,407054.082,3284764.174,0.1,23.97,0.1,22.91,24.25,-0.57,80,emergentHerbaceousWetlands,,,GeoXH 6000,20130119,122,2.4,1.1,bet|bgc|cdw|dhp|div|hbp|sme|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,tickPlot,,OSBS_022,OSBS022,1600,40m x 40m,41,29.688331,-81.961534,WGS84,17N,406971.575,3284637.33,0.1,23.66,0.1,23.11,24.44,0,90,emergentHerbaceousWetlands,,,GeoXH 6000,20130118,121,1.9,0.9,tck
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_023,OSBS023,1600,40m x 40m,41,29.722597,-81.985527,WGS84,17N,404682.567,3288453.919,0.1,25.77,0.1,25.25,30.05,-2,0,emergentHerbaceousWetlands,,,GeoXH 6000,20130120,134,3.9,1.3,bet|bgc|cdw|dhp|div|hbp|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mammalGrid,diversity,OSBS_023,OSBS023,8100,90m x 90m,E5,29.723545,-81.984417,WGS84,17N,404790.806,3288558.1,0.1,24.82,0.13,24.82,32,1,198,emergentHerbaceousWetlands,,,GeoXH 6000,20130125,121,2.6,1.3,mam
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_024,OSBS024,1600,40m x 40m,41,29.723939,-81.986781,WGS84,17N,404562.488,3288603.666,0.1,25.14,0.11,24.33,25.85,-2.29,16,emergentHerbaceousWetlands,,,GeoXH 6000,20130120,121,2.1,1,cdw|dhp|div|hbp|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_025,OSBS025,1600,40m x 40m,41,29.691867,-81.996384,WGS84,17N,403603.111,3285057.753,0.1,45.12,0.1,43.84,45.64,0.86,90,,,,GeoXH 6000,20130125,121,3.3,1.6,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_026,OSBS026,1600,40m x 40m,41,29.693584,-81.992057,WGS84,17N,404023.395,3285244.408,0.1,42.96,0.14,41.16,45.67,2.06,100,,,,GeoXH 6000,20130114,135,3,1.4,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_027,OSBS027,1600,40m x 40m,41,29.691969,-81.992063,WGS84,17N,404021.276,3285065.468,0.12,41.27,0.21,40.59,43.92,0,217,,,,GeoXH 6000,20130114,121,2.6,1.2,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
