"","V1"
"1",0.382270008325577
"2",0.387279987335205
"3",0.392289996147156
"4",0.397300004959106
"5",0.402310013771057
"6",0.407319992780685
"7",0.412330001592636
"8",0.417340010404587
"9",0.422349989414215
"10",0.427350014448166
"11",0.432359993457794
"12",0.437370002269745
"13",0.442380011081696
"14",0.447389990091324
"15",0.452399998903275
"16",0.457410007715225
"17",0.462419986724854
"18",0.467429995536804
"19",0.472440004348755
"20",0.477450013160706
"21",0.482459992170334
"22",0.487470000982285
"23",0.492480009794235
"24",0.497489988803864
"25",0.502489984035492
"26",0.507499992847443
"27",0.512510001659393
"28",0.517520010471344
"29",0.522530019283295
"30",0.527540028095245
"31",0.532549977302551
"32",0.537559986114502
"33",0.542569994926453
"34",0.547580003738403
"35",0.552590012550354
"36",0.557600021362305
"37",0.562609970569611
"38",0.567619979381561
"39",0.572629988193512
"40",0.57762998342514
"41",0.582639992237091
"42",0.587650001049042
"43",0.592660009860992
"44",0.597670018672943
"45",0.602680027484894
"46",0.6076899766922
"47",0.61269998550415
"48",0.617709994316101
"49",0.622720003128052
"50",0.627730011940002
"51",0.632740020751953
"52",0.637750029563904
"53",0.64275997877121
"54",0.647759974002838
"55",0.652769982814789
"56",0.65777999162674
"57",0.66279000043869
"58",0.667800009250641
"59",0.672810018062592
"60",0.677820026874542
"61",0.682829976081848
"62",0.687839984893799
"63",0.69284999370575
"64",0.6978600025177
"65",0.702870011329651
"66",0.707880020141602
"67",0.712890028953552
"68",0.717899978160858
"69",0.722909986972809
"70",0.727909982204437
"71",0.732919991016388
"72",0.737929999828339
"73",0.742940008640289
"74",0.74795001745224
"75",0.752960026264191
"76",0.757969975471497
"77",0.762979984283447
"78",0.767989993095398
"79",0.773000001907349
"80",0.778010010719299
"81",0.78302001953125
"82",0.788030028343201
"83",0.793039977550507
"84",0.798039972782135
"85",0.803049981594086
"86",0.808059990406036
"87",0.813069999217987
"88",0.818080008029938
"89",0.823090016841888
"90",0.828100025653839
"91",0.833109974861145
"92",0.838119983673096
"93",0.843129992485046
"94",0.848140001296997
"95",0.853150010108948
"96",0.858160018920898
"97",0.863170027732849
"98",0.868179976940155
"99",0.873179972171783
"100",0.878189980983734
"101",0.883199989795685
"102",0.888209998607635
"103",0.893220007419586
"104",0.898230016231537
"105",0.903240025043488
"106",0.908249974250793
"107",0.913259983062744
"108",0.918269991874695
"109",0.923280000686646
"110",0.928290009498596
"111",0.933300018310547
"112",0.938310027122498
"113",0.943319976329803
"114",0.948319971561432
"115",0.953329980373383
"116",0.958339989185333
"117",0.963349997997284
"118",0.968360006809235
"119",0.973370015621185
"120",0.978380024433136
"121",0.983389973640442
"122",0.988399982452393
"123",0.993409991264343
"124",0.998420000076294
"125",1.00343000888824
"126",1.0084400177002
"127",1.01345002651215
"128",1.0184600353241
"129",1.02347004413605
"130",1.028480052948
"131",1.03348004817963
"132",1.03849005699158
"133",1.04349994659424
"134",1.04850995540619
"135",1.05351996421814
"136",1.05852997303009
"137",1.06353998184204
"138",1.06854999065399
"139",1.07355999946594
"140",1.07857000827789
"141",1.08358001708984
"142",1.08859002590179
"143",1.09360003471375
"144",1.0986100435257
"145",1.10362005233765
"146",1.10862994194031
"147",1.11363005638123
"148",1.11863994598389
"149",1.12364995479584
"150",1.12865996360779
"151",1.13366997241974
"152",1.13867998123169
"153",1.14368999004364
"154",1.14869999885559
"155",1.15371000766754
"156",1.15872001647949
"157",1.16373002529144
"158",1.16874003410339
"159",1.17375004291534
"160",1.17876005172729
"161",1.18376004695892
"162",1.18877005577087
"163",1.19377994537354
"164",1.19878995418549
"165",1.20379996299744
"166",1.20880997180939
"167",1.21381998062134
"168",1.21882998943329
